activity_id,date_local,name,sport,location,distance_km,duration_s,duration_hms,avg_hr,max_hr,elev_gain_m,elev_loss_m,aero_TE,ana_TE,vo2max,avg_speed_mps,max_speed_mps,pace_min_per_km,hr_z1_s,hr_z2_s,hr_z3_s,hr_z4_s,hr_z5_s,is_parent,has_polyline,calories,sets_info
20513907434,2025-09-27 11:14:21,Zoteux Marche à pied,walking,Zoteux,4.473,3103.62,51m44s,113.0,147.0,66.0,65.0,1.2000000476837158,0.0,56.0,1.425,1.875,11:33/km,2276.359,508.189,21.002,0.0,0.0,False,True,247.0,
20427955006,2025-09-18 19:06:12,Villebon-sur-Yvette Course à pied,running,Villebon-sur-Yvette,11.038,4216.21,1h10m16s,174.0,195.0,35.0,34.0,4.599999904632568,0.8999999761581421,56.0,2.621,4.133,6:21/km,0.0,564.679,361.143,1923.329,1360.798,False,True,762.0,
20427953884,2025-09-18 18:54:28,Villebon-sur-Yvette Course à pied,running,Villebon-sur-Yvette,1.138,405.92,6m46s,127.0,137.0,1.0,1.0,1.399999976158142,0.699999988079071,,2.811,3.051,5:56/km,24.001,373.473,0.0,0.0,0.0,False,True,59.0,
20374113233,2025-09-13 15:35:21,Arques Multisport,multi_sport,Arques,26.967,5359.32,1h29m19s,,186.0,114.0,120.0,4.0,2.5,,3.642,10.114,3:18/km,,,,,,True,True,838.0,
20371738009,2025-09-12 17:37:03,Nat. piscine,lap_swimming,,1.15,1666.02,27m46s,124.0,160.0,,,2.0999999046325684,0.5,,,,24:08/km,610.988,444.731,389.0,0.0,0.0,False,False,190.0,
20307090280,2025-09-07 10:13:08,Gravelines Multisport,multi_sport,Gravelines,13.589,3001.24,50m01s,,189.0,52.0,55.0,3.799999952316284,2.0,,3.149,10.404,3:40/km,,,,,,True,True,532.0,
20287671301,2025-09-05 13:06:45,Massy Course à pied,running,Massy,5.005,1792.26,29m52s,156.0,178.0,32.0,31.0,3.0999999046325684,0.0,56.0,2.792,3.163,5:58/km,31.0,547.965,369.978,814.432,0.0,False,True,300.0,
20265921974,2025-09-03 12:16:10,Musculation,strength_training,,0.0,2060.8,34m21s,105.0,162.0,,,0.800000011920929,0.800000011920929,,,,,601.382,455.549,30.702,0.0,0.0,False,False,148.0,"[{'category': 'BENCH_PRESS', 'reps': 47, 'volume': 1300000, 'duration': 145909.00039672852, 'sets': 4, 'maxWeight': 35000}, {'category': 'PUSH_UP', 'reps': 24, 'volume': 480000, 'duration': 61552.99949645996, 'sets': 2, 'maxWeight': 20000}, {'category': 'PULL_UP', 'reps': 12, 'volume': 420000, 'duration': 38883.99887084961, 'sets': 1, 'maxWeight': 35000}, {'category': 'UNKNOWN', 'reps': 80, 'volume': 1525000, 'duration': 419272.9940414429, 'sets': 7, 'maxWeight': 20000}, {'category': 'ROW', 'reps': 31, 'volume': 620000, 'duration': 71616.00112915039, 'sets': 2, 'maxWeight': 20000}]"
20232677448,2025-08-31 10:02:09,Samer Course à pied,running,Samer,6.815,2133.58,35m34s,143.0,155.0,83.0,82.0,2.799999952316284,0.0,56.0,3.183,4.106,5:13/km,29.0,1254.984,832.874,0.0,0.0,False,True,340.0,
20227685708,2025-08-30 18:11:34,Zoteux Course à pied,running,Zoteux,7.508,2454.95,40m55s,162.0,185.0,72.0,73.0,3.5999999046325684,0.0,55.0,3.055,3.462,5:26/km,28.999,695.943,21.0,1675.775,0.0,False,True,432.0,
20216271849,2025-08-29 16:38:49,Musculation,strength_training,,0.0,2361.6,39m22s,102.0,147.0,,,0.4000000059604645,0.20000000298023224,,,,,736.886,302.421,13.742,0.0,0.0,False,False,148.0,"[{'category': 'BENCH_PRESS', 'reps': 36, 'volume': 720000, 'duration': 121259.00268554688, 'sets': 3, 'maxWeight': 20000}, {'category': 'LATERAL_RAISE', 'reps': 10, 'volume': 200000, 'duration': 30240.999221801758, 'sets': 1, 'maxWeight': 20000}, {'category': 'PULL_UP', 'reps': 12, 'volume': 240000, 'duration': 42416.99981689453, 'sets': 1, 'maxWeight': 20000}, {'category': 'UNKNOWN', 'reps': 138, 'volume': 3555000, 'duration': 415580.0018310547, 'sets': 11, 'maxWeight': 40000}, {'category': 'ROW', 'reps': 50, 'volume': 1000000, 'duration': 126884.9983215332, 'sets': 4, 'maxWeight': 20000}]"
20206950975,2025-08-28 17:11:27,Nat. piscine,lap_swimming,,2.55,3933.35,1h05m33s,112.0,151.0,,,1.2999999523162842,0.0,,,,25:42/km,2609.301,545.823,56.998,0.0,0.0,False,False,304.0,
20202280068,2025-08-27 19:07:27,Massy - Anaérobique,running,Massy,2.506,855.37,14m15s,146.0,175.0,16.0,21.0,2.299999952316284,0.0,55.0,2.931,3.266,5:41/km,40.0,444.977,23.072,314.98,0.0,False,True,138.0,
20193495737,2025-08-27 12:47:44,Musculation,strength_training,,0.0,1723.96,28m44s,102.0,139.0,,,0.30000001192092896,0.0,,,,,672.381,170.095,0.0,0.0,0.0,False,False,112.0,"[{'category': 'BENCH_PRESS', 'reps': 39, 'volume': 1170000, 'duration': 111720.00122070312, 'sets': 3, 'maxWeight': 30000}, {'category': 'PULL_UP', 'reps': 12, 'volume': 360000, 'duration': 39738.99841308594, 'sets': 1, 'maxWeight': 30000}, {'category': 'UNKNOWN', 'reps': 103, 'volume': 1970000, 'duration': 288679.0008544922, 'sets': 8, 'maxWeight': 25000}, {'category': 'ROW', 'reps': 40, 'volume': 800000, 'duration': 105517.00019836426, 'sets': 4, 'maxWeight': 20000}]"
20184285119,2025-08-26 15:28:49,Nat. piscine,lap_swimming,,3.0,4956.86,1h22m37s,143.0,177.0,,,3.200000047683716,2.0,,,,27:32/km,296.037,1777.976,2000.898,498.172,0.0,False,False,657.0,
20159309712,2025-08-24 10:01:36,Drucat Course à pied,running,Drucat,7.481,2193.54,36m34s,185.0,194.0,104.0,104.0,4.300000190734863,0.20000000298023224,55.0,3.394,5.552,4:53/km,14.14,48.0,166.001,424.965,1540.275,False,True,441.0,
20159308103,2025-08-24 09:32:52,Drucat Course à pied,running,Drucat,2.772,1194.17,19m54s,140.0,177.0,23.0,24.0,2.299999952316284,0.0,55.0,2.315,5.253,7:10/km,288.233,269.603,572.513,62.999,0.0,False,True,173.0,
