body_battery,dist_m,elapsed_s,hr,timestamp_gmt_ms,moving_s,time_s,timestamp_utc
48.0,0.0,0.0,102.0,1754317233000.0,0.0,0.0,2025-08-04 14:20:33+00:00
48.0,0.0,1.0,101.0,1754317234000.0,0.0,1.0,2025-08-04 14:20:34+00:00
48.0,0.0,7.0,102.0,1754317240000.0,0.0,7.0,2025-08-04 14:20:40+00:00
48.0,0.0,10.0,101.0,1754317243000.0,0.0,10.0,2025-08-04 14:20:43+00:00
48.0,0.0,11.0,102.0,1754317244000.0,0.0,11.0,2025-08-04 14:20:44+00:00
48.0,0.0,12.0,103.0,1754317245000.0,0.0,12.0,2025-08-04 14:20:45+00:00
48.0,0.0,14.0,104.0,1754317247000.0,0.0,14.0,2025-08-04 14:20:47+00:00
48.0,0.0,17.0,105.0,1754317250000.0,0.0,17.0,2025-08-04 14:20:50+00:00
48.0,0.0,20.0,104.0,1754317253000.0,0.0,20.0,2025-08-04 14:20:53+00:00
48.0,0.0,21.0,105.0,1754317254000.0,0.0,21.0,2025-08-04 14:20:54+00:00
48.0,0.0,23.0,106.0,1754317256000.0,0.0,23.0,2025-08-04 14:20:56+00:00
48.0,0.0,25.0,105.0,1754317258000.0,0.0,25.0,2025-08-04 14:20:58+00:00
48.0,0.0,26.0,104.0,1754317259000.0,0.0,26.0,2025-08-04 14:20:59+00:00
48.0,0.0,28.0,102.0,1754317261000.0,0.0,28.0,2025-08-04 14:21:01+00:00
48.0,0.0,29.0,101.0,1754317262000.0,0.0,29.0,2025-08-04 14:21:02+00:00
48.0,0.0,30.0,99.0,1754317263000.0,0.0,30.0,2025-08-04 14:21:03+00:00
48.0,0.0,31.0,95.0,1754317264000.0,0.0,31.0,2025-08-04 14:21:04+00:00
48.0,0.0,32.0,93.0,1754317265000.0,0.0,32.0,2025-08-04 14:21:05+00:00
48.0,0.0,33.0,92.0,1754317266000.0,0.0,33.0,2025-08-04 14:21:06+00:00
48.0,0.0,34.0,93.0,1754317267000.0,0.0,34.0,2025-08-04 14:21:07+00:00
48.0,0.0,37.0,94.0,1754317270000.0,0.0,37.0,2025-08-04 14:21:10+00:00
48.0,0.0,44.0,95.0,1754317277000.0,0.0,44.0,2025-08-04 14:21:17+00:00
48.0,0.0,46.0,96.0,1754317279000.0,0.0,46.0,2025-08-04 14:21:19+00:00
48.0,0.0,47.0,98.0,1754317280000.0,0.0,47.0,2025-08-04 14:21:20+00:00
48.0,0.0,48.0,100.0,1754317281000.0,0.0,48.0,2025-08-04 14:21:21+00:00
48.0,0.0,49.0,101.0,1754317282000.0,0.0,49.0,2025-08-04 14:21:22+00:00
48.0,0.0,50.0,102.0,1754317283000.0,0.0,50.0,2025-08-04 14:21:23+00:00
48.0,0.0,54.0,103.0,1754317287000.0,0.0,54.0,2025-08-04 14:21:27+00:00
48.0,0.0,61.0,104.0,1754317294000.0,0.0,61.0,2025-08-04 14:21:34+00:00
48.0,0.0,62.0,103.0,1754317295000.0,0.0,62.0,2025-08-04 14:21:35+00:00
48.0,0.0,63.0,104.0,1754317296000.0,0.0,63.0,2025-08-04 14:21:36+00:00
48.0,0.0,65.0,103.0,1754317298000.0,0.0,65.0,2025-08-04 14:21:38+00:00
48.0,0.0,68.0,102.0,1754317301000.0,0.0,68.0,2025-08-04 14:21:41+00:00
48.0,0.0,71.0,101.0,1754317304000.0,0.0,71.0,2025-08-04 14:21:44+00:00
48.0,0.0,72.0,100.0,1754317305000.0,0.0,72.0,2025-08-04 14:21:45+00:00
48.0,0.0,76.0,101.0,1754317309000.0,0.0,76.0,2025-08-04 14:21:49+00:00
48.0,0.0,78.0,102.0,1754317311000.0,0.0,78.0,2025-08-04 14:21:51+00:00
48.0,0.0,80.0,103.0,1754317313000.0,0.0,80.0,2025-08-04 14:21:53+00:00
48.0,0.0,82.0,104.0,1754317315000.0,0.0,82.0,2025-08-04 14:21:55+00:00
48.0,0.0,84.0,105.0,1754317317000.0,0.0,84.0,2025-08-04 14:21:57+00:00
48.0,0.0,85.0,106.0,1754317318000.0,0.0,85.0,2025-08-04 14:21:58+00:00
47.0,0.0,88.0,107.0,1754317321000.0,0.0,88.0,2025-08-04 14:22:01+00:00
47.0,0.0,89.0,108.0,1754317322000.0,0.0,89.0,2025-08-04 14:22:02+00:00
47.0,0.0,92.0,109.0,1754317325000.0,0.0,92.0,2025-08-04 14:22:05+00:00
47.0,0.0,95.0,108.0,1754317328000.0,0.0,95.0,2025-08-04 14:22:08+00:00
47.0,0.0,97.0,109.0,1754317330000.0,0.0,97.0,2025-08-04 14:22:10+00:00
47.0,0.0,100.0,108.0,1754317333000.0,0.0,100.0,2025-08-04 14:22:13+00:00
47.0,0.0,110.0,107.0,1754317343000.0,0.0,110.0,2025-08-04 14:22:23+00:00
47.0,0.0,111.0,108.0,1754317344000.0,0.0,111.0,2025-08-04 14:22:24+00:00
47.0,0.0,112.0,107.0,1754317345000.0,0.0,112.0,2025-08-04 14:22:25+00:00
47.0,0.0,115.0,106.0,1754317348000.0,0.0,115.0,2025-08-04 14:22:28+00:00
47.0,0.0,118.0,107.0,1754317351000.0,0.0,118.0,2025-08-04 14:22:31+00:00
47.0,0.0,119.0,106.0,1754317352000.0,0.0,119.0,2025-08-04 14:22:32+00:00
47.0,0.0,123.0,105.0,1754317356000.0,0.0,123.0,2025-08-04 14:22:36+00:00
47.0,0.0,124.0,106.0,1754317357000.0,0.0,124.0,2025-08-04 14:22:37+00:00
47.0,0.0,126.0,107.0,1754317359000.0,0.0,126.0,2025-08-04 14:22:39+00:00
47.0,0.0,129.0,108.0,1754317362000.0,0.0,129.0,2025-08-04 14:22:42+00:00
47.0,0.0,130.0,109.0,1754317363000.0,0.0,130.0,2025-08-04 14:22:43+00:00
47.0,0.0,133.0,110.0,1754317366000.0,0.0,133.0,2025-08-04 14:22:46+00:00
47.0,0.0,136.0,111.0,1754317369000.0,0.0,136.0,2025-08-04 14:22:49+00:00
47.0,0.0,138.0,110.0,1754317371000.0,0.0,138.0,2025-08-04 14:22:51+00:00
47.0,0.0,142.0,111.0,1754317375000.0,0.0,142.0,2025-08-04 14:22:55+00:00
47.0,0.0,143.0,110.0,1754317376000.0,0.0,143.0,2025-08-04 14:22:56+00:00
47.0,0.0,145.0,111.0,1754317378000.0,0.0,145.0,2025-08-04 14:22:58+00:00
47.0,0.0,146.0,110.0,1754317379000.0,0.0,146.0,2025-08-04 14:22:59+00:00
47.0,0.0,147.0,111.0,1754317380000.0,0.0,147.0,2025-08-04 14:23:00+00:00
47.0,0.0,151.0,110.0,1754317384000.0,0.0,151.0,2025-08-04 14:23:04+00:00
47.0,0.0,156.0,109.0,1754317389000.0,0.0,156.0,2025-08-04 14:23:09+00:00
47.0,0.0,159.0,110.0,1754317392000.0,0.0,159.0,2025-08-04 14:23:12+00:00
47.0,0.0,162.0,111.0,1754317395000.0,0.0,162.0,2025-08-04 14:23:15+00:00
47.0,0.0,163.0,110.0,1754317396000.0,0.0,163.0,2025-08-04 14:23:16+00:00
47.0,0.0,167.0,109.0,1754317400000.0,0.0,167.0,2025-08-04 14:23:20+00:00
47.0,0.0,168.0,110.0,1754317401000.0,0.0,168.0,2025-08-04 14:23:21+00:00
47.0,0.0,170.0,111.0,1754317403000.0,0.0,170.0,2025-08-04 14:23:23+00:00
47.0,0.0,172.0,113.0,1754317405000.0,0.0,172.0,2025-08-04 14:23:25+00:00
47.0,0.0,177.0,114.0,1754317410000.0,0.0,177.0,2025-08-04 14:23:30+00:00
47.0,0.0,179.0,115.0,1754317412000.0,0.0,179.0,2025-08-04 14:23:32+00:00
47.0,0.0,181.0,116.0,1754317414000.0,0.0,181.0,2025-08-04 14:23:34+00:00
47.0,0.0,186.0,115.0,1754317419000.0,0.0,186.0,2025-08-04 14:23:39+00:00
47.0,0.0,191.0,116.0,1754317424000.0,0.0,191.0,2025-08-04 14:23:44+00:00
47.0,0.0,192.0,115.0,1754317425000.0,0.0,192.0,2025-08-04 14:23:45+00:00
47.0,0.0,195.0,114.0,1754317428000.0,0.0,195.0,2025-08-04 14:23:48+00:00
47.0,0.0,196.0,115.0,1754317429000.0,0.0,196.0,2025-08-04 14:23:49+00:00
47.0,0.0,198.0,114.0,1754317431000.0,0.0,198.0,2025-08-04 14:23:51+00:00
47.0,0.0,199.0,113.0,1754317432000.0,0.0,199.0,2025-08-04 14:23:52+00:00
47.0,0.0,201.0,112.0,1754317434000.0,0.0,201.0,2025-08-04 14:23:54+00:00
47.0,0.0,205.0,113.0,1754317438000.0,0.0,205.0,2025-08-04 14:23:58+00:00
47.0,0.0,206.0,114.0,1754317439000.0,0.0,206.0,2025-08-04 14:23:59+00:00
47.0,0.0,208.0,113.0,1754317441000.0,0.0,208.0,2025-08-04 14:24:01+00:00
47.0,0.0,212.0,112.0,1754317445000.0,0.0,212.0,2025-08-04 14:24:05+00:00
47.0,0.0,218.0,111.0,1754317451000.0,0.0,218.0,2025-08-04 14:24:11+00:00
47.0,0.0,222.0,110.0,1754317455000.0,0.0,222.0,2025-08-04 14:24:15+00:00
47.0,0.0,224.0,109.0,1754317457000.0,0.0,224.0,2025-08-04 14:24:17+00:00
47.0,0.0,226.0,108.0,1754317459000.0,0.0,226.0,2025-08-04 14:24:19+00:00
47.0,0.0,230.0,109.0,1754317463000.0,0.0,230.0,2025-08-04 14:24:23+00:00
47.0,0.0,231.0,110.0,1754317464000.0,0.0,231.0,2025-08-04 14:24:24+00:00
47.0,0.0,233.0,111.0,1754317466000.0,0.0,233.0,2025-08-04 14:24:26+00:00
47.0,0.0,235.0,112.0,1754317468000.0,0.0,235.0,2025-08-04 14:24:28+00:00
47.0,0.0,238.0,113.0,1754317471000.0,0.0,238.0,2025-08-04 14:24:31+00:00
47.0,0.0,239.0,114.0,1754317472000.0,0.0,239.0,2025-08-04 14:24:32+00:00
