lat,speed_mps,timestamp_gmt_ms,lon,hr,time_s,elapsed_s,moving_s,elev_m,body_battery,dist_m,vert_mps,timestamp_utc
50.62002148479223,2.882999897003174,1753536553000.0,1.875648144632578,72.0,0.0,0.0,0.0,167.60000610351562,74.0,4.809999942779541,,2025-07-26 13:29:13+00:00
50.620038164779544,2.743000030517578,1753536554000.0,1.8756371643394232,73.0,1.0,1.0,1.0,167.60000610351562,74.0,7.079999923706055,0.0,2025-07-26 13:29:14+00:00
50.62012592330575,3.0320000648498535,1753536559000.0,1.8755349889397621,74.0,6.0,6.0,6.0,167.39999389648438,74.0,19.200000762939453,-0.03999999910593033,2025-07-26 13:29:19+00:00
50.62025190331042,4.684000015258789,1753536564000.0,1.8753264471888542,74.0,11.0,11.0,11.0,167.0,74.0,39.38999938964844,-0.07999999821186066,2025-07-26 13:29:24+00:00
50.62031946144998,4.945000171661377,1753536566000.0,1.875238185748458,75.0,13.0,13.0,13.0,166.60000610351562,74.0,49.290000915527344,-0.20000000298023224,2025-07-26 13:29:26+00:00
50.6203546654433,4.927000045776367,1753536567000.0,1.8751974496990442,75.0,14.0,14.0,14.0,166.60000610351562,74.0,54.060001373291016,0.0,2025-07-26 13:29:27+00:00
50.62042490579188,4.982999801635742,1753536569000.0,1.8751055002212524,79.0,16.0,16.0,16.0,166.60000610351562,74.0,64.27999877929688,0.0,2025-07-26 13:29:29+00:00
50.6204981636256,5.039000034332275,1753536571000.0,1.8750202562659979,82.0,18.0,18.0,18.0,166.60000610351562,74.0,74.69999694824219,0.0,2025-07-26 13:29:31+00:00
50.62056463211775,5.178999900817871,1753536573000.0,1.8749408796429634,83.0,20.0,20.0,20.0,166.1999969482422,74.0,83.79000091552734,-0.20000000298023224,2025-07-26 13:29:33+00:00
50.620706621557474,4.730999946594238,1753536577000.0,1.8747799471020699,86.0,24.0,24.0,24.0,166.1999969482422,74.0,103.18000030517578,0.0,2025-07-26 13:29:37+00:00
50.62094047665596,4.394999980926514,1753536584000.0,1.8745072837918997,89.0,31.0,31.0,31.0,166.0,74.0,135.67999267578125,-0.028999999165534973,2025-07-26 13:29:44+00:00
50.62104835174978,4.067999839782715,1753536588000.0,1.8743784539401531,90.0,35.0,35.0,35.0,165.1999969482422,74.0,150.52999877929688,-0.20000000298023224,2025-07-26 13:29:48+00:00
