hr,body_battery,timestamp_gmt_ms,moving_s,time_s,elapsed_s,dist_m,timestamp_utc
81.0,77.0,1753265668000.0,0.0,0.0,0.0,0.0,2025-07-23 10:14:28+00:00
81.0,77.0,1753265669000.0,0.0,1.0,1.0,0.0,2025-07-23 10:14:29+00:00
83.0,77.0,1753265670000.0,0.0,2.0,2.0,0.0,2025-07-23 10:14:30+00:00
85.0,77.0,1753265671000.0,0.0,3.0,3.0,0.0,2025-07-23 10:14:31+00:00
86.0,77.0,1753265672000.0,0.0,4.0,4.0,0.0,2025-07-23 10:14:32+00:00
88.0,77.0,1753265673000.0,0.0,5.0,5.0,0.0,2025-07-23 10:14:33+00:00
89.0,77.0,1753265674000.0,0.0,6.0,6.0,0.0,2025-07-23 10:14:34+00:00
90.0,77.0,1753265676000.0,0.0,8.0,8.0,0.0,2025-07-23 10:14:36+00:00
91.0,77.0,1753265682000.0,0.0,14.0,14.0,0.0,2025-07-23 10:14:42+00:00
92.0,77.0,1753265684000.0,0.0,16.0,16.0,0.0,2025-07-23 10:14:44+00:00
91.0,77.0,1753265685000.0,0.0,17.0,17.0,0.0,2025-07-23 10:14:45+00:00
86.0,77.0,1753265686000.0,0.0,18.0,18.0,0.0,2025-07-23 10:14:46+00:00
83.0,77.0,1753265687000.0,0.0,19.0,19.0,0.0,2025-07-23 10:14:47+00:00
82.0,77.0,1753265688000.0,0.0,20.0,20.0,0.0,2025-07-23 10:14:48+00:00
84.0,77.0,1753265690000.0,0.0,22.0,22.0,0.0,2025-07-23 10:14:50+00:00
86.0,77.0,1753265691000.0,0.0,23.0,23.0,0.0,2025-07-23 10:14:51+00:00
91.0,77.0,1753265692000.0,0.0,24.0,24.0,0.0,2025-07-23 10:14:52+00:00
95.0,77.0,1753265693000.0,0.0,25.0,25.0,0.0,2025-07-23 10:14:53+00:00
97.0,77.0,1753265694000.0,0.0,26.0,26.0,0.0,2025-07-23 10:14:54+00:00
99.0,77.0,1753265695000.0,0.0,27.0,27.0,0.0,2025-07-23 10:14:55+00:00
100.0,77.0,1753265696000.0,0.0,28.0,28.0,0.0,2025-07-23 10:14:56+00:00
101.0,77.0,1753265698000.0,0.0,30.0,30.0,0.0,2025-07-23 10:14:58+00:00
102.0,77.0,1753265699000.0,0.0,31.0,31.0,0.0,2025-07-23 10:14:59+00:00
103.0,77.0,1753265700000.0,0.0,32.0,32.0,0.0,2025-07-23 10:15:00+00:00
103.0,77.0,1753265701000.0,0.0,33.0,33.0,0.0,2025-07-23 10:15:01+00:00
102.0,77.0,1753265704000.0,0.0,36.0,36.0,0.0,2025-07-23 10:15:04+00:00
101.0,77.0,1753265708000.0,0.0,40.0,40.0,0.0,2025-07-23 10:15:08+00:00
100.0,77.0,1753265716000.0,0.0,48.0,48.0,0.0,2025-07-23 10:15:16+00:00
101.0,77.0,1753265719000.0,0.0,51.0,51.0,0.0,2025-07-23 10:15:19+00:00
