cadence_spm_frac,cadence_spm,dist_m,timestamp_gmt_ms,elev_m,elapsed_s,moving_s,hr,time_s,body_battery,speed_mps,vert_mps,lat,lon,timestamp_utc
0.0,0.0,0.0,1755085271000.0,499.79998779296875,0.0,0.0,119.0,0.0,54.0,,,,,2025-08-13 11:41:11+00:00
0.0,0.0,0.0,1755085272000.0,499.79998779296875,1.0,0.0,120.0,1.0,54.0,0.0,0.0,,,2025-08-13 11:41:12+00:00
0.0,94.0,2.359999895095825,1755085282000.0,499.6000061035156,11.0,10.0,117.0,11.0,54.0,1.1480000019073486,-0.019999999552965164,,,2025-08-13 11:41:22+00:00
0.0,94.0,5.590000152587891,1755085286000.0,499.3999938964844,15.0,14.0,114.0,15.0,54.0,0.7839999794960022,-0.05000000074505806,46.39370019547641,6.896858084946871,2025-08-13 11:41:26+00:00
0.0,96.0,16.709999084472656,1755085294000.0,499.20001220703125,23.0,22.0,112.0,23.0,54.0,1.4179999828338623,-0.02500000037252903,46.39370053075254,6.897002505138516,2025-08-13 11:41:34+00:00
0.0,98.0,24.639999389648438,1755085300000.0,499.0,29.0,28.0,111.0,29.0,54.0,1.399999976158142,-0.032999999821186066,46.39374126680195,6.897087665274739,2025-08-13 11:41:40+00:00
0.0,96.0,32.040000915527344,1755085306000.0,499.0,35.0,34.0,110.0,35.0,54.0,1.3530000448226929,0.0,46.393756940960884,6.8971786089241505,2025-08-13 11:41:46+00:00
0.0,94.0,39.4900016784668,1755085312000.0,499.20001220703125,41.0,40.0,109.0,41.0,54.0,1.3250000476837158,0.032999999821186066,46.39377244748175,6.8972698878496885,2025-08-13 11:41:52+00:00
0.0,96.0,46.34000015258789,1755085318000.0,499.20001220703125,47.0,46.0,106.0,47.0,54.0,1.305999994277954,0.0,46.393795078620315,6.897352701053023,2025-08-13 11:41:58+00:00
0.5,95.0,47.209999084472656,1755085319000.0,499.20001220703125,48.0,47.0,106.0,48.0,54.0,1.305999994277954,0.0,46.3937976770103,6.89736477099359,2025-08-13 11:41:59+00:00
0.0,94.0,56.7599983215332,1755085327000.0,499.20001220703125,56.0,55.0,105.0,56.0,54.0,1.25,0.0,46.39384620822966,6.897465605288744,2025-08-13 11:42:07+00:00
0.5,95.0,62.380001068115234,1755085332000.0,499.6000061035156,61.0,60.0,109.0,61.0,54.0,1.2319999933242798,0.07999999821186066,46.393885519355536,6.897508101537824,2025-08-13 11:42:12+00:00
0.5,93.0,64.3499984741211,1755085334000.0,499.6000061035156,63.0,62.0,112.0,63.0,54.0,1.222000002861023,0.0,46.39390680938959,6.897518076002598,2025-08-13 11:42:14+00:00
0.5,97.0,67.02999877929688,1755085336000.0,499.6000061035156,65.0,64.0,113.0,65.0,54.0,1.2039999961853027,0.0,46.39392969198525,6.897530648857355,2025-08-13 11:42:16+00:00
0.0,96.0,78.87999725341797,1755085345000.0,499.79998779296875,74.0,73.0,117.0,74.0,54.0,1.222000002861023,0.02199999988079071,46.39402155764401,6.897605499252677,2025-08-13 11:42:25+00:00
0.0,96.0,80.16000366210938,1755085346000.0,499.79998779296875,75.0,74.0,117.0,75.0,54.0,1.222000002861023,0.0,46.39403429813683,6.897609019652009,2025-08-13 11:42:26+00:00
0.5,97.0,90.9000015258789,1755085354000.0,499.6000061035156,83.0,82.0,116.0,83.0,54.0,1.2410000562667847,-0.02500000037252903,46.39411577023566,6.897673727944493,2025-08-13 11:42:34+00:00
0.0,96.0,101.16000366210938,1755085362000.0,499.79998779296875,91.0,90.0,113.0,91.0,54.0,1.2599999904632568,0.02500000037252903,46.394187435507774,6.897760145366192,2025-08-13 11:42:42+00:00
0.0,96.0,102.43000030517578,1755085363000.0,499.79998779296875,92.0,91.0,113.0,92.0,54.0,1.2599999904632568,0.0,46.394198751077056,6.897769533097744,2025-08-13 11:42:43+00:00
0.0,96.0,110.9800033569336,1755085370000.0,499.79998779296875,99.0,98.0,113.0,99.0,54.0,1.2599999904632568,0.0,46.39426480047405,6.897823428735137,2025-08-13 11:42:50+00:00
0.0,94.0,119.55999755859375,1755085377000.0,499.79998779296875,106.0,105.0,113.0,106.0,54.0,1.2599999904632568,0.0,46.394331604242325,6.897881515324116,2025-08-13 11:42:57+00:00
0.0,98.0,121.87999725341797,1755085380000.0,499.79998779296875,109.0,108.0,118.0,109.0,54.0,1.2599999904632568,0.0,46.39435331337154,6.897890316322446,2025-08-13 11:43:00+00:00
0.5,95.0,127.0999984741211,1755085384000.0,500.0,113.0,112.0,119.0,113.0,54.0,1.25,0.05000000074505806,46.39438449405134,6.897937171161175,2025-08-13 11:43:04+00:00
0.0,98.0,137.6300048828125,1755085393000.0,499.79998779296875,122.0,121.0,118.0,122.0,54.0,1.2410000562667847,-0.02199999988079071,46.394459595903754,6.8980261869728565,2025-08-13 11:43:13+00:00
0.5,95.0,147.0800018310547,1755085400000.0,499.79998779296875,129.0,128.0,119.0,129.0,54.0,1.2410000562667847,0.0,46.39452765695751,6.898097265511751,2025-08-13 11:43:20+00:00
0.0,96.0,157.25,1755085408000.0,499.6000061035156,137.0,136.0,122.0,137.0,54.0,1.25,-0.02500000037252903,46.394600830972195,6.898177983239293,2025-08-13 11:43:28+00:00
0.0,96.0,158.82000732421875,1755085409000.0,499.6000061035156,138.0,137.0,122.0,138.0,54.0,1.25,0.0,46.39460946433246,6.898191897198558,2025-08-13 11:43:29+00:00
0.5,93.0,168.50999450683594,1755085417000.0,499.79998779296875,146.0,145.0,119.0,146.0,54.0,1.25,0.02500000037252903,46.394671155139804,6.898285774514079,2025-08-13 11:43:37+00:00
0.5,95.0,171.4600067138672,1755085419000.0,500.0,148.0,147.0,120.0,148.0,54.0,1.25,0.10000000149011612,46.394688338041306,6.898313853889704,2025-08-13 11:43:39+00:00
0.0,0.0,179.47999572753906,1755085426000.0,499.79998779296875,155.0,154.0,119.0,155.0,54.0,1.2410000562667847,-0.028999999165534973,46.39474625699222,6.8983822502195835,2025-08-13 11:43:46+00:00
0.5,95.0,190.64999389648438,1755085434000.0,500.0,163.0,162.0,120.0,163.0,54.0,1.25,0.02500000037252903,46.39484097249806,6.898423824459314,2025-08-13 11:43:54+00:00
0.0,94.0,201.17999267578125,1755085442000.0,500.20001220703125,171.0,170.0,118.0,171.0,54.0,1.277999997138977,0.02500000037252903,46.39492814429104,6.898443773388863,2025-08-13 11:44:02+00:00
0.0,98.0,212.5,1755085452000.0,500.3999938964844,181.0,180.0,118.0,181.0,54.0,1.2410000562667847,0.019999999552965164,46.39503467828035,6.898428937420249,2025-08-13 11:44:12+00:00
0.5,83.0,215.3300018310547,1755085457000.0,500.3999938964844,186.0,185.0,117.0,186.0,54.0,1.2319999933242798,0.0,46.395027386024594,6.898426339030266,2025-08-13 11:44:17+00:00
0.5,83.0,216.69000244140625,1755085459000.0,500.6000061035156,188.0,187.0,117.0,188.0,54.0,1.2130000591278076,0.10000000149011612,46.395013220608234,6.89843631349504,2025-08-13 11:44:19+00:00
